Pupigpalluq Mekelghiiq Nulightulghii

pupigpalluq	pupig-palluq[N→N][N][Abs][Unpd][Sg]
ungipaghaatanga	ungipaghagh-~:(ng₁)u[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipaghagh-~:(ng₁)u[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipaghagh-~:(ng₁)u[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipaghagh-~:(ng₁)u[N→V]-~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipaghagh-~:(ng₁)u[N→V]-~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipaghagh-~:(ng₁)u[N→V]-~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipaghagh-~:(ng₁)u[N→V]-te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipaghagh-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipaghagh-~:(ng₁)u[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipaghagh-~:(ng₁)u[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipaghagh-~:(ng₁)u[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipaghagh-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipaghagh-~:(ng₁)u[V→V]-~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipaghagh-~:(ng₁)u[V→V]-~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipaghagh-~:(ng₁)u[V→V]-te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipaghagh-~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipaghagh-~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
