Allakaghmeng aanumalghiit mangteghameng.

allakaghmeng	allakagh*[Quant_Qual][4Pl]
seghleghunii	seghleghu-~:(u)te[to.V.for.or.with][to.cause.to.V.as.one.is.V-ing][to.V.toward.each.other][V→V]-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-~:(u)te[to.V.for.or.with][to.cause.to.V.as.one.is.V-ing][to.V.toward.each.other][V→V]-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-~:(u)te[to.V.for.or.with][to.cause.to.V.as.one.is.V-ing][to.V.toward.each.other][V→V]-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-~:(u)te[SBJ.V-ed.something][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-~:(u)te[SBJ.V-ed.something][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-~:(u)te[SBJ.V-ed.something][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-~:(u)te[SBJ.V-ed.something][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-~:(u)te[SBJ.V-ed.something][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl][V][Intr][Intrg][3Sg]
seghleghunii	seghleghu-~:(u)te[SBJ.V-ed.something][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]
seghleghunii	seghleghu-~:(u)te[SBJ.V-ed.something][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl][V][Trns][Ind][3Sg][3Pl]
seghleghunii	seghleghu-~:(u)te[SBJ.V-ed.something][V→V]-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-~:(u)te[SBJ.V-ed.something][V→V]-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-~:(u)te[SBJ.V-ed.something][V→V]-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-~:(u)te[SBJ.V-ed.something][V→V]-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]

tanpeq	tanpegh[N][Abs][Unpd][Sg]

atuqnaqegkeni	atugh-~–ke[to.have.as.one's.N(s)][N→V]-te[to.act.on.so.as.to.cause.to.V][V→V]-te[to.act.on.so.as.to.cause.to.V][V→V]-@₁~fnaqe[to.be.going.to.V][V→V]-@*@₂~sf–(g₂)k(a)e[the.one.that.possessor.V-ed][V→N][N][Abs][4SgPoss][SgPosd]
atuqnaqegkeni	atugh-~–ke[to.have.as.one's.N(s)][N→V]-te[to.act.on.so.as.to.cause.to.V][V→V]-te[to.act.on.so.as.to.cause.to.V][V→V]-@₁~fnaqe[to.be.going.to.V][V→V]-@*@₂~sf–(g₂)k(a)e[the.one.that.possessor.V-ed][V→N][N][Abs][4SgPoss][PlPosd]
atuqnaqegkeni	atugh-~–ke[to.have.as.one's.N(s)][N→V]-te[to.act.on.so.as.to.cause.to.V][V→V]-te[to.act.on.so.as.to.cause.to.V][V→V]-@₁~fnaqe[to.be.going.to.V][V→V]-@*@₂~sf–(g₂)k(a)e[the.one.that.possessor.V-ed][V→N][N][Loc][Unpd][Pl]
atuqnaqegkeni	atugh-~–ke[to.have.as.one's.N(s)][N→V]-te[to.act.on.so.as.to.cause.to.V][V→V]-@₁~fnaqe[to.be.going.to.V][V→V]-@*@₂~sf–(g₂)k(a)e[the.one.that.possessor.V-ed][V→N][N][Abs][4SgPoss][SgPosd]
atuqnaqegkeni	atugh-~–ke[to.have.as.one's.N(s)][N→V]-te[to.act.on.so.as.to.cause.to.V][V→V]-@₁~fnaqe[to.be.going.to.V][V→V]-@*@₂~sf–(g₂)k(a)e[the.one.that.possessor.V-ed][V→N][N][Abs][4SgPoss][PlPosd]
atuqnaqegkeni	atugh-~–ke[to.have.as.one's.N(s)][N→V]-te[to.act.on.so.as.to.cause.to.V][V→V]-@₁~fnaqe[to.be.going.to.V][V→V]-@*@₂~sf–(g₂)k(a)e[the.one.that.possessor.V-ed][V→N][N][Loc][Unpd][Pl]
atuqnaqegkeni	atugh-~–ke[to.have.as.one's.N(s)][N→V]-@₁~fnaqe[to.be.going.to.V][V→V]-@*@₂~sf–(g₂)k(a)e[the.one.that.possessor.V-ed][V→N][N][Abs][4SgPoss][SgPosd]
atuqnaqegkeni	atugh-~–ke[to.have.as.one's.N(s)][N→V]-@₁~fnaqe[to.be.going.to.V][V→V]-@*@₂~sf–(g₂)k(a)e[the.one.that.possessor.V-ed][V→N][N][Abs][4SgPoss][PlPosd]
atuqnaqegkeni	atugh-~–ke[to.have.as.one's.N(s)][N→V]-@₁~fnaqe[to.be.going.to.V][V→V]-@*@₂~sf–(g₂)k(a)e[the.one.that.possessor.V-ed][V→N][N][Loc][Unpd][Pl]
atuqnaqegkeni	atugh-@*@₂~sf–(g₂)k(a)e[the.one.that.possessor.V-ed][V→N]-te[to.catch.N][to.go.to.N][N→V]-te[to.act.on.so.as.to.cause.to.V][V→V]-te[to.act.on.so.as.to.cause.to.V][V→V]-@₁~fnaqe[to.be.going.to.V][V→V]-@*@₂~sf–(g₂)k(a)e[the.one.that.possessor.V-ed][V→N][N][Abs][4SgPoss][SgPosd]
atuqnaqegkeni	atugh-@*@₂~sf–(g₂)k(a)e[the.one.that.possessor.V-ed][V→N]-te[to.catch.N][to.go.to.N][N→V]-te[to.act.on.so.as.to.cause.to.V][V→V]-te[to.act.on.so.as.to.cause.to.V][V→V]-@₁~fnaqe[to.be.going.to.V][V→V]-@*@₂~sf–(g₂)k(a)e[the.one.that.possessor.V-ed][V→N][N][Abs][4SgPoss][PlPosd]
atuqnaqegkeni	atugh-@*@₂~sf–(g₂)k(a)e[the.one.that.possessor.V-ed][V→N]-te[to.catch.N][to.go.to.N][N→V]-te[to.act.on.so.as.to.cause.to.V][V→V]-te[to.act.on.so.as.to.cause.to.V][V→V]-@₁~fnaqe[to.be.going.to.V][V→V]-@*@₂~sf–(g₂)k(a)e[the.one.that.possessor.V-ed][V→N][N][Loc][Unpd][Pl]
atuqnaqegkeni	atugh-@*@₂~sf–(g₂)k(a)e[the.one.that.possessor.V-ed][V→N]-te[to.catch.N][to.go.to.N][N→V]-te[to.act.on.so.as.to.cause.to.V][V→V]-@₁~fnaqe[to.be.going.to.V][V→V]-@*@₂~sf–(g₂)k(a)e[the.one.that.possessor.V-ed][V→N][N][Abs][4SgPoss][SgPosd]
