Kaavam Anglinaqellgha 

------------------------
Kaavam Apellgha 

------------------------


------------------------
Sikneq

sikneq	Siknegh[N][Abs][Unpd][Sg]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Intr][Sbrd][3Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Trns][Sbrd][_][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Intr][Sbrd][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Intr][Sbrd][3Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Trns][Sbrd][_][2Du]
whaangiighhaaghllutek	wha-–ghte[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Intr][Sbrd][2Du]
whaangiighhaaghllutek	wha-–ghte[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Intr][Sbrd][3Du]
whaangiighhaaghllutek	wha-–ghte[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Trns][Sbrd][_][2Du]
whaangiighhaaghllutek	wha-–ghte[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Intr][Sbrd][2Du]
whaangiighhaaghllutek	wha-–ghte[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Intr][Sbrd][3Du]
whaangiighhaaghllutek	wha-–ghte[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Trns][Sbrd][_][2Du]
