ESTAMAA 

------------------------
Ayumiim Ungipaghaatangi 

ayumiim	ayumigh*[N][Rel][Unpd][Sg]
ungipamsugutiinkut	ungipamsug-~:(ng₁)u[V→V]-te[V→V][V][Trns][Ind][3Pl][1Pl]
ungipamsugutiinkut	ungipamsug-~:(ng₁)u[V→V]-te[V→V][V][Trns][Ind][3Sg][1Pl]
ungipamsugutiinkut	ungipamsug-~:(ng₁)u[V→V]-tu[V→V][V][Trns][Intrg][3Sg][1Pl]
ungipamsugutiinkut	ungipamsug-~:(ng₁)u[V→V]-tu[V→V][V][Trns][Intrg][3Pl][1Pl]
ungipamsugutiinkut	ungipamsug-~:(ng₁)u[V→V]-tu[V→V][V][Trns][Intrg][3Du][1Pl]
ungipamsugutiinkut	ungipamsug-~:(u)te[V→V]-~i[V→V][V][Trns][Intrg][3Sg][1Pl]
ungipamsugutiinkut	ungipamsug-~:(u)te[V→V]-~i[V→V][V][Trns][Intrg][3Pl][1Pl]
ungipamsugutiinkut	ungipamsug-~:(u)te[V→V]-~i[V→V][V][Trns][Intrg][3Du][1Pl]
ungipamsugutiinkut	ungipamsug-~:(u)te[V→V][V][Trns][Ind][3Du][1Pl]
ungipamsugutiinkut	ungipamsug-~:(u)te[V→V][V][Trns][Ind][3Pl][1Pl]
ungipamsugutiinkut	ungipamsug-~:(u)te[V→V][V][Trns][Ind][3Sg][1Pl]
ungipamsugutiinkut	ungipamsug-ugh[V→V]-–tu[V→V][V][Trns][Intrg][3Sg][1Pl]
ungipamsugutiinkut	ungipamsug-ugh[V→V]-–tu[V→V][V][Trns][Intrg][3Pl][1Pl]
ungipamsugutiinkut	ungipamsug-ugh[V→V]-–tu[V→V][V][Trns][Intrg][3Du][1Pl]

------------------------
Qenaaghqun aqumuulluta whangkuta nagasaqefut nunanighllak.

qenaaghqun	qenaagh-–ghqe[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
qenaaghqun	qenaagh-–ghqe[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
qenaaghqun	qenaagh-–ghqe[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
qenaaghqun	qenaagh-–ghqu[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
qenaaghqun	qenaagh-–ghqu[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
qenaaghqun	qenaagh[N][Abs][Unpd][Sg]-qun[Encl]
qenaaghqun	qenaagh[N][Via][Unpd][Sg]
qenaaghqun	qenaagh-qe[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
qenaaghqun	qenaagh-qe[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
qenaaghqun	qenaagh-qe[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
qenaaghqun	qenaagh-qe[N→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
qenaaghqun	qenaagh-qu[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
qenaaghqun	qenaagh-qu[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
qenaaghqun	qenu-agh[N→V]-–ghqe[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
qenaaghqun	qenu-agh[N→V]-–ghqe[V→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
qenaaghqun	qenu-agh[N→V]-–ghqe[V→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]

aqumuulluta	aqume-@₁~:(u)te[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][1Pl]
aqumuulluta	aqume-@₁~:(u)te[V→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][1Pl]
aqumuulluta	aqume-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][1Pl]
aqumuulluta	aqume-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][1Pl]
aqumuulluta	aqume-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][1Pl]
aqumuulluta	aqume-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][1Pl]
aqumuulluta	aqume-te[V→V]-@₁~:(u)te[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][1Pl]
aqumuulluta	aqume-te[V→V]-@₁~:(u)te[V→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][1Pl]
aqumuulluta	aqume-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][1Pl]
aqumuulluta	aqume-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][1Pl]
aqumuulluta	aqume-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][1Pl]
aqumuulluta	aqume-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][1Pl]
aqumuulluta	aqume-~:(u)te[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][1Pl]
aqumuulluta	aqume-~:(u)te[V→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][1Pl]
aqumuulluta	aqume-~:(u)te[V→N]-te[N→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][1Pl]
aqumuulluta	aqume-~:(u)te[V→N]-te[N→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][1Pl]
aqumuulluta	Aqumugh-–ghte[N→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][1Pl]
aqumuulluta	Aqumugh-–ghte[N→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][1Pl]
aqumuulluta	Aqumugh-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][1Pl]
aqumuulluta	Aqumugh-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][1Pl]
aqumuulluta	Aqumugh-te[N→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][1Pl]
aqumuulluta	Aqumugh-te[N→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][1Pl]
aqumuulluta	Aqumugh-~:(ng₁)u[N→V]-te[V→V][V][Intr][Sbrd][1Pl]
aqumuulluta	Aqumugh-~:(ng₁)u[N→V]-te[V→V][V][Trns][Sbrd][_][1Pl]
aqumuulluta	Aqumugh-~:(ng₁)u[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V][V][Intr][Sbrd][1Pl]
aqumuulluta	Aqumugh-~:(ng₁)u[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V][V][Trns][Sbrd][_][1Pl]
aqumuulluta	Aqumugh-~:(ng₁)u[N→V]-~:(u)te[V→N]-te[N→V][V][Intr][Sbrd][1Pl]
aqumuulluta	Aqumugh-~:(ng₁)u[N→V]-~:(u)te[V→N]-te[N→V][V][Trns][Sbrd][_][1Pl]

whangkuta	whangkuta

nunanighllak	nunanigh-––i[N→V]-@₁~:(u)n[V→N]-–ghllag[N→N][N][Abs][Unpd][Sg]
nunanighllak	nunanigh-––i[N→V]-@₁~:(u)n[V→N]-–ghllak[N→N][N][Abs][Unpd][Sg]
nunanighllak	nunanigh-––i[N→V]-–ghllak[AUG]
nunanighllak	nunanigh-––igh[N→V]-–ghllak[AUG]
nunanighllak	nunanigh-–ghllag[N→N][N][Abs][Unpd][Sg]
nunanighllak	nunanigh-–ghllak[N→N][N][Abs][Unpd][Sg]
nunanighllak	nunanigh-–ghllak[AUG]
nunanighllak	nuna-ni[N→N]-–ghllag[N→N][N][Abs][Unpd][Sg]
nunanighllak	nuna-ni[N→N]-–ghllak[N→N][N][Abs][Unpd][Sg]

------------------------


------------------------
Piyalghiimi, ellngin'nguq sivukluteng Sivungami kiyaghsuwhaaqaaftut salin taakwna paaghqilluku.

piyalghiimi	pi-@₁~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]-mi[Encl]
piyalghiimi	pi-@₁~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Loc][Unpd][Sg]
piyalghiimi	pi-@₁~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][4SgPoss][PlPosd]
piyalghiimi	pi-@₁~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][4SgPoss][SgPosd]
piyalghiimi	pi-@₁~:(u)te[V→V][V][Intr][Ptcp_Obl][4Sg]
piyalghiimi	pi-@₁~fyagh[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]-mi[Encl]
piyalghiimi	pi-@₁~fyagh[N→V]-@₁–lghii[V→N][N][Loc][Unpd][Sg]
piyalghiimi	pi-@₁~fyagh[N→V]-@₁–lghii[V→N][N][Rel][4SgPoss][PlPosd]
piyalghiimi	pi-@₁~fyagh[N→V]-@₁–lghii[V→N][N][Rel][4SgPoss][SgPosd]
piyalghiimi	pi-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]-mi[Encl]
piyalghiimi	pi-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Loc][Unpd][Sg]
piyalghiimi	pi-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][4SgPoss][PlPosd]
piyalghiimi	pi-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][4SgPoss][SgPosd]
piyalghiimi	pi-~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]-mi[Encl]
piyalghiimi	pi-~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Loc][Unpd][Sg]
piyalghiimi	pi-~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][4SgPoss][PlPosd]
piyalghiimi	pi-~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][4SgPoss][SgPosd]
piyalghiimi	pi-~:(u)te[V→V][V][Intr][Ptcp_Obl][4Sg]
piyalghiimi	pi-~:(u)te[V→N]-@₁~fyagh[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]-mi[Encl]
piyalghiimi	pi-~:(u)te[V→N]-@₁~fyagh[N→V]-@₁–lghii[V→N][N][Loc][Unpd][Sg]
piyalghiimi	pi-~:(u)te[V→N]-@₁~fyagh[N→V]-@₁–lghii[V→N][N][Rel][4SgPoss][PlPosd]
piyalghiimi	pi-~:(u)te[V→N]-@₁~fyagh[N→V]-@₁–lghii[V→N][N][Rel][4SgPoss][SgPosd]
piyalghiimi	pi[V][Intr][Ptcp_Obl][4Sg]

sivukluteng	sivu-~–ke[N→V]-te[V→V][V][Intr][Sbrd][3Pl]
sivukluteng	sivu-~–ke[N→V][V][Intr][Sbrd][3Pl]
sivukluteng	sivu-~–ke[N→N]-te[N→V]-te[V→V][V][Intr][Sbrd][3Pl]
sivukluteng	sivu-~–ke[N→N]-te[N→V][V][Intr][Sbrd][3Pl]
sivukluteng	sivug-~–ke[N→V]-te[V→V][V][Intr][Sbrd][3Pl]
sivukluteng	sivug-~–ke[N→V][V][Intr][Sbrd][3Pl]
sivukluteng	sivug-~–ke[N→N]-te[N→V]-te[V→V][V][Intr][Sbrd][3Pl]
sivukluteng	sivug-~–ke[N→N]-te[N→V][V][Intr][Sbrd][3Pl]
sivukluteng	sivuke-te[V→V][V][Intr][Sbrd][3Pl]
sivukluteng	sivuke[V][Intr][Sbrd][3Pl]

sivungami	sivu[N][Abs][3SgPoss][SgPosd]-mi[Encl]

kiyaghsuwhaaqaaftut	kiyaghte-@₁~fyuwhaagh[V→V]-@₁~–(g₁)kaa[V→V]-(pete)fte[V→V][V][Intr][Ind][3Pl]
kiyaghsuwhaaqaaftut	kiyaghte-@₁~fyuwhaagh[V→V]-~–qagh[V→V]-~:(ng₁)u[V→V]-(pete)fte[V→V][V][Intr][Ind][3Pl]
kiyaghsuwhaaqaaftut	kiyaghte-@₁~fyuwhaagh[V→V]-~sf–(g₃)kau[V→V]-(pete)fte[V→V][V][Intr][Ind][3Pl]
kiyaghsuwhaaqaaftut	kiyaghte-@₁~fyuwhaaq[V→N]-agh[N→V]-~:(ng₁)u[V→V]-(pete)fte[V→V][V][Intr][Ind][3Pl]

salin	sa-@₁~:(u)n[V→N]-–li[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
salin	sa-@₁~:(u)n[V→N]-–li[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
salin	sa-–li[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
salin	sa-–li[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
salin	salin
salin	salite[N][Abs][Unpd][Sg]
salin	sa-liq[N→N]-––i[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
salin	sa-liq[N→N]-––i[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]

taakwna	taakwna

paaghqilluku	paagh-–ghqe[V→V]-~i[V→V]-@₁~:(u)n[V→N]-–lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
paaghqilluku	paagh-–ghqe[V→V]-~i[V→V]-te[V→V][V][Trns][Sbrd][_][3Sg]
paaghqilluku	paagh-–ghqe[V→V]-~i[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V][V][Trns][Sbrd][_][3Sg]
paaghqilluku	paagh-–ghqe[V→V]-~i[V→V]-~:(u)te[V→N]-te[N→V][V][Trns][Sbrd][_][3Sg]
paaghqilluku	paagh-–ghqe[V→V]-~i[V→V]-–llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
paaghqilluku	paagh-–ghqe[V→V]-~i[V→V]-llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
paaghqilluku	paaghqite[V][Trns][Sbrd][_][3Sg]
paaghqilluku	paagh-qaq[V→N]-––i[N→V]-@₁~:(u)n[V→N]-–lluk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
paaghqilluku	paagh-qaq[V→N]-––i[N→V]-te[V→V][V][Trns][Sbrd][_][3Sg]
paaghqilluku	paagh-qaq[V→N]-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V][V][Trns][Sbrd][_][3Sg]
paaghqilluku	paagh-qaq[V→N]-––i[N→V]-~:(u)te[V→N]-te[N→V][V][Trns][Sbrd][_][3Sg]
paaghqilluku	paagh-qaq[V→N]-––i[N→V]-–llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
paaghqilluku	paagh-qaq[V→N]-––i[N→V]-llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]
paaghqilluku	paagh-qaq[V→N]-––igh[N→V]-–llug[V→V]-–qu[V→V][V][Intr][Opt][PRS][2Sg]

------------------------
Neghsaghllaguyaghpetughnguq qazigyameng neliyuwhaaghaqngameng.

qazigyameng	qazigyagh[N][Abl_Mod][Unpd][Sg]
qazigyameng	qazigyagh[N][Rel][4DuPoss][PlPosd]
qazigyameng	qazigyagh[N][Rel][4DuPoss][SgPosd]
qazigyameng	qazigyagh[N][Rel][4PlPoss][PlPosd]
qazigyameng	qazigyagh[N][Rel][4PlPoss][SgPosd]

neliyuwhaaghaqngameng	ne-–li[N→V]-@₁~:(u)te[V→V]-@₁~fyuwhaaq[V→N]-–ghagh*[N→N]-~–ke[N→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	ne-–li[N→V]-@₁~:(u)te[V→V]-@₁~fyuwhaagh[V→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	ne-–li[N→V]-@₁~:(u)te[V→V]-@₁~fyuwhaagh[V→V][V][Intr][CnsqII][4Pl]
neliyuwhaaghaqngameng	ne-–li[N→V]-@₁~:(u)te[V→V]-@₁~fyuwhaagh[V→V][V][Trns][CnsqII][4Pl]
neliyuwhaaghaqngameng	ne-–li[N→V]-@₁~:(u)te[V→V]-@₁~fyuwhaagh[V→V]-aq[V→N]-~–ke[N→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	ne-–li[N→V]-@₁~fyuwhaaq[V→N]-–ghagh*[N→N]-~–ke[N→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	ne-–li[N→V]-@₁~fyuwhaagh[V→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	ne-–li[N→V]-@₁~fyuwhaagh[V→V][V][Intr][CnsqII][4Pl]
neliyuwhaaghaqngameng	ne-–li[N→V]-@₁~fyuwhaagh[V→V][V][Trns][CnsqII][4Pl]
neliyuwhaaghaqngameng	ne-–li[N→V]-@₁~fyuwhaagh[V→V]-aq[V→N]-~–ke[N→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	ne-–li[N→V]-~:(u)te[V→V]-@₁~fyuwhaaq[V→N]-–ghagh*[N→N]-~–ke[N→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	ne-–li[N→V]-~:(u)te[V→V]-@₁~fyuwhaagh[V→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	ne-–li[N→V]-~:(u)te[V→V]-@₁~fyuwhaagh[V→V][V][Intr][CnsqII][4Pl]
neliyuwhaaghaqngameng	ne-–li[N→V]-~:(u)te[V→V]-@₁~fyuwhaagh[V→V][V][Trns][CnsqII][4Pl]
neliyuwhaaghaqngameng	ne-–li[N→V]-~:(u)te[V→V]-@₁~fyuwhaagh[V→V]-aq[V→N]-~–ke[N→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	neli-@₁~:(u)te[V→V]-@₁~fyuwhaaq[V→N]-–ghagh*[N→N]-~–ke[N→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	neli-@₁~:(u)te[V→V]-@₁~fyuwhaagh[V→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	neli-@₁~:(u)te[V→V]-@₁~fyuwhaagh[V→V][V][Intr][CnsqII][4Pl]
neliyuwhaaghaqngameng	neli-@₁~:(u)te[V→V]-@₁~fyuwhaagh[V→V][V][Trns][CnsqII][4Pl]
neliyuwhaaghaqngameng	neli-@₁~:(u)te[V→V]-@₁~fyuwhaagh[V→V]-aq[V→N]-~–ke[N→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	neli-@₁~fyuwhaaq[V→N]-–ghagh*[N→N]-~–ke[N→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	neli-@₁~fyuwhaagh[V→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	neli-@₁~fyuwhaagh[V→V][V][Intr][CnsqII][4Pl]
neliyuwhaaghaqngameng	neli-@₁~fyuwhaagh[V→V][V][Trns][CnsqII][4Pl]
neliyuwhaaghaqngameng	neli-@₁~fyuwhaagh[V→V]-aq[V→N]-~–ke[N→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	neli-~:(u)te[V→V]-@₁~fyuwhaaq[V→N]-–ghagh*[N→N]-~–ke[N→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	neli-~:(u)te[V→V]-@₁~fyuwhaagh[V→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	neli-~:(u)te[V→V]-@₁~fyuwhaagh[V→V][V][Intr][CnsqII][4Pl]
neliyuwhaaghaqngameng	neli-~:(u)te[V→V]-@₁~fyuwhaagh[V→V][V][Trns][CnsqII][4Pl]
neliyuwhaaghaqngameng	neli-~:(u)te[V→V]-@₁~fyuwhaagh[V→V]-aq[V→N]-~–ke[N→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	ne-liq[N→N]-––i[N→V]-@₁~:(u)te[V→V]-@₁~fyuwhaaq[V→N]-–ghagh*[N→N]-~–ke[N→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	ne-liq[N→N]-––i[N→V]-@₁~:(u)te[V→V]-@₁~fyuwhaagh[V→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	ne-liq[N→N]-––i[N→V]-@₁~:(u)te[V→V]-@₁~fyuwhaagh[V→V][V][Intr][CnsqII][4Pl]
neliyuwhaaghaqngameng	ne-liq[N→N]-––i[N→V]-@₁~:(u)te[V→V]-@₁~fyuwhaagh[V→V][V][Trns][CnsqII][4Pl]
neliyuwhaaghaqngameng	ne-liq[N→N]-––i[N→V]-@₁~:(u)te[V→V]-@₁~fyuwhaagh[V→V]-aq[V→N]-~–ke[N→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	ne-liq[N→N]-––i[N→V]-@₁~fyuwhaaq[V→N]-–ghagh*[N→N]-~–ke[N→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	ne-liq[N→N]-––i[N→V]-@₁~fyuwhaagh[V→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	ne-liq[N→N]-––i[N→V]-@₁~fyuwhaagh[V→V][V][Intr][CnsqII][4Pl]
neliyuwhaaghaqngameng	ne-liq[N→N]-––i[N→V]-@₁~fyuwhaagh[V→V][V][Trns][CnsqII][4Pl]
neliyuwhaaghaqngameng	ne-liq[N→N]-––i[N→V]-@₁~fyuwhaagh[V→V]-aq[V→N]-~–ke[N→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	ne-liq[N→N]-––i[N→V]-~:(u)te[V→V]-@₁~fyuwhaaq[V→N]-–ghagh*[N→N]-~–ke[N→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	ne-liq[N→N]-––i[N→V]-~:(u)te[V→V]-@₁~fyuwhaagh[V→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][4Pl]
neliyuwhaaghaqngameng	ne-liq[N→N]-––i[N→V]-~:(u)te[V→V]-@₁~fyuwhaagh[V→V][V][Intr][CnsqII][4Pl]
neliyuwhaaghaqngameng	ne-liq[N→N]-––i[N→V]-~:(u)te[V→V]-@₁~fyuwhaagh[V→V][V][Trns][CnsqII][4Pl]
neliyuwhaaghaqngameng	ne-liq[N→N]-––i[N→V]-~:(u)te[V→V]-@₁~fyuwhaagh[V→V]-aq[V→N]-~–ke[N→V][V][Intr][CnsqI][4Pl]

------------------------
Repallnguq aftavingllaghluteng pikaaftut quugmeng, unaghsimeng.

aftavingllaghluteng	afta-@₁~:(u)te[V→V]-@₁~fvik[V→N]-–ngllagh[N→V][V][Intr][Sbrd][3Pl]
aftavingllaghluteng	afta-@₁~fvik[V→N]-–ngllagh[N→V][V][Intr][Sbrd][3Pl]
aftavingllaghluteng	afta-~:(u)te[V→V]-@₁~fvik[V→N]-–ngllagh[N→V][V][Intr][Sbrd][3Pl]

pikaaftut	pi-@₁~–(g₁)kaa[V→V]-(pete)fte[V→V][V][Intr][Ind][3Pl]
pikaaftut	pi-@₁~:(u)te[V→V]-@₁~–(g₁)kaa[V→V]-(pete)fte[V→V][V][Intr][Ind][3Pl]
pikaaftut	pi-te[N→V]-@₁~–(g₁)kaa[V→V]-(pete)fte[V→V][V][Intr][Ind][3Pl]
pikaaftut	pi-te[V→V]-@₁~–(g₁)kaa[V→V]-(pete)fte[V→V][V][Intr][Ind][3Pl]
pikaaftut	pi-~:(u)te[V→V]-@₁~–(g₁)kaa[V→V]-(pete)fte[V→V][V][Intr][Ind][3Pl]
pikaaftut	pi-~:(u)te[V→N]-te[N→V]-@₁~–(g₁)kaa[V→V]-(pete)fte[V→V][V][Intr][Ind][3Pl]
pikaaftut	pi-~sf–(g₃)kau[V→V]-(pete)fte[V→V][V][Intr][Ind][3Pl]
pikaaftut	pi-@₂~fkau[V→V]-(pete)fte[V→V][V][Intr][Ind][3Pl]

quugmeng	quug[N][Abl_Mod][Unpd][Sg]
quugmeng	quug[N][Rel][4DuPoss][PlPosd]
quugmeng	quug[N][Rel][4DuPoss][SgPosd]
quugmeng	quug[N][Rel][4PlPoss][PlPosd]
quugmeng	quug[N][Rel][4PlPoss][SgPosd]

unaghsimeng	unaghsigh[N][Abl_Mod][Unpd][Sg]
unaghsimeng	unaghsigh[N][Rel][4DuPoss][PlPosd]
unaghsimeng	unaghsigh[N][Rel][4DuPoss][SgPosd]
unaghsimeng	unaghsigh[N][Rel][4PlPoss][PlPosd]
unaghsimeng	unaghsigh[N][Rel][4PlPoss][SgPosd]

------------------------
Qayughllagnguq unaghsighllaguyaghpetuq tamaana.

qayughllagnguq	qayugh-–ghllag[V→V]-@*ngugh*[V→N][N][Abs][Unpd][Sg]
qayughllagnguq	qayugh-–ghllag[N→N][N][Abs][Unpd][Sg]-nguq[Encl]
qayughllagnguq	qayugh-–ghllak[N→N][N][Abs][Unpd][Sg]-nguq[Encl]
qayughllagnguq	qayughllag[N][Abs][Unpd][Sg]-nguq[Encl]

unaghsighllaguyaghpetuq	ete-@₁~:(u)n[V→N]-agh[N→V]-siq[V→N]-–ghllag[N→N]-~:(ng₁)u[N→V]-@₁~:(u)te[V→V]-@₁~fyagh[V→V]-–gpe[V→V]-te[V→V][V][Intr][Ind][3Sg]
unaghsighllaguyaghpetuq	ete-@₁~:(u)n[V→N]-agh[N→V]-siq[V→N]-–ghllag[N→N]-~:(ng₁)u[N→V]-@₁~:(u)te[V→V]-@₁~fyagh[V→V]-(pete)fte[V→V][V][Intr][Ind][3Sg]
unaghsighllaguyaghpetuq	ete-@₁~:(u)n[V→N]-agh[N→V]-siq[V→N]-–ghllag[N→N]-~:(ng₁)u[N→V]-@₁~:(u)te[V→V]-@₁~fyaghpete[V→V][V][Intr][Ind][3Sg]
unaghsighllaguyaghpetuq	ete-@₁~:(u)n[V→N]-agh[N→V]-siq[V→N]-–ghllag[N→N]-~:(ng₁)u[N→V]-@₁~fyagh[V→V]-–gpe[V→V]-te[V→V][V][Intr][Ind][3Sg]
unaghsighllaguyaghpetuq	ete-@₁~:(u)n[V→N]-agh[N→V]-siq[V→N]-–ghllag[N→N]-~:(ng₁)u[N→V]-@₁~fyagh[V→V]-(pete)fte[V→V][V][Intr][Ind][3Sg]
unaghsighllaguyaghpetuq	ete-@₁~:(u)n[V→N]-agh[N→V]-siq[V→N]-–ghllag[N→N]-~:(ng₁)u[N→V]-@₁~fyaghpete[V→V][V][Intr][Ind][3Sg]
unaghsighllaguyaghpetuq	ete-@₁~:(u)n[V→N]-agh[N→V]-siq[V→N]-–ghllag[N→N]-~:(ng₁)u[N→V]-~:(u)te[V→V]-@₁~fyagh[V→V]-–gpe[V→V]-te[V→V][V][Intr][Ind][3Sg]
unaghsighllaguyaghpetuq	ete-@₁~:(u)n[V→N]-agh[N→V]-siq[V→N]-–ghllag[N→N]-~:(ng₁)u[N→V]-~:(u)te[V→V]-@₁~fyagh[V→V]-(pete)fte[V→V][V][Intr][Ind][3Sg]
unaghsighllaguyaghpetuq	ete-@₁~:(u)n[V→N]-agh[N→V]-siq[V→N]-–ghllag[N→N]-~:(ng₁)u[N→V]-~:(u)te[V→V]-@₁~fyaghpete[V→V][V][Intr][Ind][3Sg]
