Taghnughhaq qapragllequq aqumgamakuni.

taghnughhaq	taghnughhagh*[N][Abs][Unpd][Sg]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-te[N→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Trns][Opt][PRS][2Sg][1Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Trns][Intrg][2Pl][1Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N][N][Abs][Unpd][Sg]-ete[to.be]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N][N][Abs][Unpd][Sg]-ete[to.be]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N][N][Abs][Unpd][Sg]-ete[to.be]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-te[N→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N][N][Abs][Unpd][Sg]-ete[to.be]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N][N][Abs][Unpd][Sg]-ete[to.be]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N][N][Abs][Unpd][Sg]-ete[to.be]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Trns][Opt][PRS][2Sg][1Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N][N][Abs][Unpd][Sg]-ete[to.be]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Trns][Intrg][2Pl][1Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-agh[N→V][V][Intr][Opt][FUT][1Pl]
elqwaaghniighhaakut	elqwaagh-niigh[N→V][V][Intr][Opt][FUT][1Pl]

------------------------
Avaqutanka naghaaghaqut eslami anuqlighngaan.

avaqutanka	avaqutagh[N][Abs][1SgPoss][PlPosd]
avaqutanka	ava-qe[N→V]-@₁~:(u)te[V→V][V][Trns][Ind][1Sg][3Pl]
avaqutanka	ava-qe[N→V]-@₁~:(u)ta[V→N][N][Abs][1SgPoss][PlPosd]
avaqutanka	ava-qe[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Trns][Ind][1Sg][3Pl]
avaqutanka	ava-qe[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][1SgPoss][PlPosd]
avaqutanka	ava-qe[N→V]-~:(u)te[V→V][V][Trns][Ind][1Sg][3Pl]
avaqutanka	ava-qe[N→V]-~:(u)ta[V→N][N][Abs][1SgPoss][PlPosd]
avaqutanka	ava-qe[N→N]-te[N→V]-@₁~:(u)te[V→V][V][Trns][Ind][1Sg][3Pl]
avaqutanka	ava-qe[N→N]-te[N→V]-@₁~:(u)ta[V→N][N][Abs][1SgPoss][PlPosd]
avaqutanka	ava-qu[N→V]-@₁~:(u)te[V→V][V][Trns][Ind][1Sg][3Pl]
avaqutanka	ava-qu[N→V]-@₁~:(u)ta[V→N][N][Abs][1SgPoss][PlPosd]
avaqutanka	ava-qu[N→V]-~:(u)te[V→V][V][Trns][Ind][1Sg][3Pl]
avaqutanka	ava-qu[N→V]-~:(u)ta[V→N][N][Abs][1SgPoss][PlPosd]
avaqutanka	ava-qu[N→V]-te[V→V][V][Trns][Ind][1Sg][3Pl]

naghaaghaqut	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghagh*[N→N]-~–ke[N→V][V][Intr][Ind][3Pl]
naghaaghaqut	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghagh*[N→N]-~–ke[N→V][V][Intr][Ind][3Pl]
naghaaghaqut	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-te[N→V]-@₁~:(u)n[V→N]-–ghagh*[N→N]-~–ke[N→V][V][Intr][Ind][3Pl]
naghaaghaqut	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghagh*[N→N]-~–ke[N→V][V][Intr][Ind][3Pl]
naghaaghaqut	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-–ghagh*[N→N]-~–ke[N→V][V][Intr][Ind][3Pl]
