Allakaghmeng aanumalghiit mangteghameng.

allakaghmeng	allakagh*[Quant_Qual][4Pl]
atightughaqsin	atightugh-aq[V→N]-~–ke[N→V][V][Intr][Intrg][2Sg]
atightughaqsin	atightugh-aq[V→N]-siq[N→N]-––i[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
atightughaqsin	atightugh-aq[V→N]-siq[N→N]-––i[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
atightughaqsin	atightugh-aq[V→N]-yak[N→N]-––i[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
atightughaqsin	atightugh-aq[V→N]-yak[N→N]-––i[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
atightughaqsin	atightugh-aq[V→N]-si[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
atightughaqsin	atightugh-aq[V→N]-si[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
atightughaqsin	atigh-tu[V→V]-@₁~:(u)n[V→N]-–ghagh*[N→N]-~–ke[N→V][V][Intr][Intrg][2Sg]
atightughaqsin	Ategh-––igh[N→V]-tu[V→V]-@₁~:(u)n[V→N]-–ghagh*[N→N]-~–ke[N→V][V][Intr][Intrg][2Sg]

eflugami	eflugagh[N][Loc][Unpd][Sg]
eflugami	eflugagh[N][Rel][4SgPoss][PlPosd]
eflugami	eflugagh[N][Rel][4SgPoss][SgPosd]

------------------------
Aghnalqwaaghaq kakilghii atkugmeng avaqutami mangteghaanituq.

aghnalqwaaghaq	aghnagh-–lqwaaq[N→N]-–ghagh*[N→N][N][Abs][Unpd][Sg]
aghnalqwaaghaq	aghnalqwaagh-–ghagh*[N→N][N][Abs][Unpd][Sg]

kakilghii	kakeg-––i[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
kakilghii	kakeg-––igh[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
kakilghii	kakagh-––i[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
kakilghii	kakagh-––igh[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
kakilghii	kaki-@₁–lghii[V→N][N][Abs][Unpd][Sg]

atkugmeng	atkug[N][Abl_Mod][Unpd][Sg]
atkugmeng	atkug[N][Rel][4DuPoss][PlPosd]
atkugmeng	atkug[N][Rel][4DuPoss][SgPosd]
atkugmeng	atkug[N][Rel][4PlPoss][PlPosd]
atkugmeng	atkug[N][Rel][4PlPoss][SgPosd]

avaqutami	avaqutagh[N][Loc][Unpd][Sg]
avaqutami	avaqutagh[N][Rel][4SgPoss][PlPosd]
