Iiska mekestaaghhaaguq.
ataka	ata-~–ke[N→N][N][Abs][Unpd][Sg]
ataka	ata[N][Abs][1SgPoss][SgPosd]

angyaghllalguuq	angyagh-–ghllag[N→N]-–leg[N→N]-~:(ng₁)u[N→V][V][Intr][Ind][3Sg]
angyaghllalguuq	angyagh-–ghllag[N→N]-–lgu[N→V][V][Intr][Ind][3Sg]
angyaghllalguuq	angyagh-–ghllak[N→N]-–leg[N→N]-~:(ng₁)u[N→V][V][Intr][Ind][3Sg]
angyaghllalguuq	angyagh-–ghllak[N→N]-–lgu[N→V][V][Intr][Ind][3Sg]
angyaghllalguuq	Angyat-–ghllag[N→N]-–leg[N→N]-~:(ng₁)u[N→V][V][Intr][Ind][3Sg]
angyaghllalguuq	Angyat-–ghllag[N→N]-–lgu[N→V][V][Intr][Ind][3Sg]
angyaghllalguuq	Angyat-–ghllak[N→N]-–leg[N→N]-~:(ng₁)u[N→V][V][Intr][Ind][3Sg]
angyaghllalguuq	Angyat-–ghllak[N→N]-–lgu[N→V][V][Intr][Ind][3Sg]

------------------------
Naan qulmesiitelguuq.

naan	na-@₁~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
naan	na-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
naan	na-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
naan	na-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
naan	na-~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
naan	na-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
naan	na-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
naan	na[V][Trns][Ind][2Sg][3Sg]
naan	naa[N][Abs][2SgPoss][SgPosd]

qulmesiitelguuq	qulmesiite-–leg[N→N]-~:(ng₁)u[N→V][V][Intr][Ind][3Sg]
qulmesiitelguuq	qulmesiite-–lgu[N→V][V][Intr][Ind][3Sg]

------------------------
Panigten aghnaghaghllaguut.

panigten	panig-–ghte[N→V][V][Intr][Opt][PRS][2Sg]
panigten	panig[N][Abs][2SgPoss][PlPosd]
panigten	panig-te[N→V][V][Intr][Opt][PRS][2Sg]
panigten	panig[N][Abs][2SgPoss][PlPosd]

aghnaghaghllaguut	aghnagh-–ghagh*[N→N]-–ghllag[N→N]-~:(ng₁)u[N→V][V][Intr][Ind][3Pl]
aghnaghaghllaguut	aghnaghagh*-–ghllag[N→N]-~:(ng₁)u[N→V][V][Intr][Ind][3Pl]
aghnaghaghllaguut	aghnagh-aq[V→N]-–ghllag[N→N]-~:(ng₁)u[N→V][V][Intr][Ind][3Pl]
aghnaghaghllaguut	aghnagh-agh[N→V]-–ghllag[V→V]-~:(ng₁)u[V→V][V][Intr][Ind][3Pl]
aghnaghaghllaguut	aghnagh-agh[N→V]-–ghllagu[V→V][V][Intr][Ind][3Pl]

------------------------
Ighneghenka gguteghllalguut.

ighneghenka	ighnegh[N][Abs][1SgPoss][PlPosd]

gguteghllalguut	ggute-–ghllag[N→N]-–leg[N→N]-~:(ng₁)u[N→V][V][Intr][Ind][3Pl]
gguteghllalguut	ggute-–ghllag[N→N]-–lgu[N→V][V][Intr][Ind][3Pl]
gguteghllalguut	ggute-–ghllak[N→N]-–leg[N→N]-~:(ng₁)u[N→V][V][Intr][Ind][3Pl]
