AYUMIIM MANGTEGHASQWAAGHILLU MANGTEGHAPIGILLU

ayumiim	ayumigh*[N][Rel][Unpd][Sg]
ilangi	ila-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ilangi	ila-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ilangi	ila-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ilangi	ila-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ilangi	ila[N][Abs][3SgPoss][PlPosd]

mangteghasqwaaghaqut	mangteghagh-–squgh[N→N]-:aghagh*[N→N]-~–ke[N→V][V][Intr][Ind][3Pl]
mangteghasqwaaghaqut	mangteghagh-–sqwaaq[N→N]-–ghagh*[N→N]-~–ke[N→V][V][Intr][Ind][3Pl]
mangteghasqwaaghaqut	mangteghasqwaagh-–ghagh*[N→N]-~–ke[N→V][V][Intr][Ind][3Pl]

inglukulluki	inglu-~–ke[N→V]-@₁~:(u)n[V→N]-–lluk[N→N]-~–ke[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
inglukulluki	inglu-~–ke[N→V]-@₁~:(u)n[V→N]-–lluk[N→N]-~–ke[N→V][V][Intr][Opt][PRS][2Sg]
inglukulluki	inglu-~–ke[N→V]-@₁~:(u)n[V→N]-–lluk[N→N]-~–ke[N→N]-––i[N→V][V][Intr][Opt][PRS][2Sg]
inglukulluki	inglu-~–ke[N→V]-@₁~:(u)n[V→N]-–lluk[N→N]-––i[N→V][V][Intr][Opt][PRS][2Sg]
inglukulluki	inglu-~–ke[N→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][3SgPoss][PlPosd]
inglukulluki	inglu-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N]-–lluk[N→N]-~–ke[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
inglukulluki	inglu-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N]-–lluk[N→N]-~–ke[N→V][V][Intr][Opt][PRS][2Sg]
inglukulluki	inglu-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N]-–lluk[N→N]-~–ke[N→N]-––i[N→V][V][Intr][Opt][PRS][2Sg]
inglukulluki	inglu-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N]-–lluk[N→N]-––i[N→V][V][Intr][Opt][PRS][2Sg]
inglukulluki	inglu-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][3SgPoss][PlPosd]
