SIVUQAM UNGIIPAA

sivuqam	Sivuqagh[N][Rel][Unpd][Sg]

------------------------
Akulkim Apellgha

------------------------


------------------------
Akuwaaq Qayiilleghtaqngamta, taamum ilangan aatghi liitaput.

qayiilleghtaqngamta	qayiig-––igh[N→V]-–lleq[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][PlPosd]
qayiilleghtaqngamta	qayiig-––igh[N→V]-–lleq[V→N]-–ghte[N→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][1Pl]
qayiilleghtaqngamta	qayiig-––igh[N→V]-–lleq[V→N]-–ghte[N→V][V][Intr][CnsqII][1Pl]
qayiilleghtaqngamta	qayiig-––igh[N→V]-–lleq[V→N]-–ghte[N→V][V][Trns][CnsqII][1Pl]
qayiilleghtaqngamta	qayiig-––igh[N→V]-–llek[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][SgPosd]
qayiilleghtaqngamta	qayiig-––igh[N→V]-–llek[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][PlPosd]
qayiilleghtaqngamta	qayiig-––igh[N→V]-–llek[V→N]-–ghte[N→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][1Pl]
qayiilleghtaqngamta	qayiig-––igh[N→V]-–llek[V→N]-–ghte[N→V][V][Intr][CnsqII][1Pl]
qayiilleghtaqngamta	qayiig-––igh[N→V]-–llek[V→N]-–ghte[N→V][V][Trns][CnsqII][1Pl]
qayiilleghtaqngamta	qaya-––i[N→V]-–lleq[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][SgPosd]
qayiilleghtaqngamta	qaya-––i[N→V]-–lleq[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][PlPosd]
qayiilleghtaqngamta	qaya-––i[N→V]-–lleq[V→N]-–ghte[N→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][1Pl]
qayiilleghtaqngamta	qaya-––i[N→V]-–lleq[V→N]-–ghte[N→V][V][Intr][CnsqII][1Pl]
qayiilleghtaqngamta	qaya-––i[N→V]-–lleq[V→N]-–ghte[N→V][V][Trns][CnsqII][1Pl]
qayiilleghtaqngamta	qaya-––i[N→V]-–llek[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][SgPosd]
qayiilleghtaqngamta	qaya-––i[N→V]-–llek[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][PlPosd]
qayiilleghtaqngamta	qaya-––i[N→V]-–llek[V→N]-–ghte[N→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][1Pl]
qayiilleghtaqngamta	qaya-––i[N→V]-–llek[V→N]-–ghte[N→V][V][Intr][CnsqII][1Pl]
qayiilleghtaqngamta	qaya-––i[N→V]-–llek[V→N]-–ghte[N→V][V][Trns][CnsqII][1Pl]
qayiilleghtaqngamta	qaya-––igh[N→V]-–lleq[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][SgPosd]
qayiilleghtaqngamta	qaya-––igh[N→V]-–lleq[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][PlPosd]
qayiilleghtaqngamta	qaya-––igh[N→V]-–lleq[V→N]-–ghte[N→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][1Pl]
qayiilleghtaqngamta	qaya-––igh[N→V]-–lleq[V→N]-–ghte[N→V][V][Intr][CnsqII][1Pl]
