NATENG ANGYAPIGEM ULIIMALLGHI

nateng	na-@₁~:(u)n[V→N][N][Abs][4PlPoss][PlPosd]
atuqegkaqegkangat	atugh-~–ke[N→V]-~sf–(g₃)kaq[V→N]-~–ke[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Pl]
atuqegkaqegkangat	atugh-~–ke[N→V]-~sf–(g₃)kaq[V→N]-~–ke[N→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3PlPoss][SgPosd]
atuqegkaqegkangat	atuqe-~sf–(g₃)kaq[V→N]-~–ke[N→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Pl]
atuqegkaqegkangat	atuqe-~sf–(g₃)kaq[V→N]-~–ke[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Pl]
atuqegkaqegkangat	atuqe-~sf–(g₃)kaq[V→N]-~–ke[N→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3PlPoss][SgPosd]

sangllaghnaqneghmeggni	sa-@₁~:(u)n[V→N]-–ngllagh[N→V]-@₁~fnaq[V→N]-te[N→V]-@₁–negh[V→N][N][Loc][4PlPoss][PlPosd]
sangllaghnaqneghmeggni	sa-@₁~:(u)n[V→N]-–ngllagh[N→V]-@₁~fnaq[V→N]-te[N→V]-@₁–negh[V→N][N][Loc][4PlPoss][SgPosd]
sangllaghnaqneghmeggni	sa-@₁~:(u)n[V→N]-–ngllagh[N→V]-@₁~fnaq[V→N]-te[N→V]-te[V→V]-@₁–negh[V→N][N][Loc][4PlPoss][PlPosd]
sangllaghnaqneghmeggni	sa-@₁~:(u)n[V→N]-–ngllagh[N→V]-@₁~fnaq[V→N]-te[N→V]-te[V→V]-@₁–negh[V→N][N][Loc][4PlPoss][SgPosd]
sangllaghnaqneghmeggni	sa-–ngllagh[N→V]-@₁~fnaq[V→N]-te[N→V]-@₁–negh[V→N][N][Loc][4PlPoss][PlPosd]
sangllaghnaqneghmeggni	sa-–ngllagh[N→V]-@₁~fnaq[V→N]-te[N→V]-@₁–negh[V→N][N][Loc][4PlPoss][SgPosd]
sangllaghnaqneghmeggni	sa-–ngllagh[N→V]-@₁~fnaq[V→N]-te[N→V]-te[V→V]-@₁–negh[V→N][N][Loc][4PlPoss][PlPosd]
sangllaghnaqneghmeggni	sa-–ngllagh[N→V]-@₁~fnaq[V→N]-te[N→V]-te[V→V]-@₁–negh[V→N][N][Loc][4PlPoss][SgPosd]
sangllaghnaqneghmeggni	sa-–ngllagh[V→V]-@₁~fnaq[V→N]-te[N→V]-@₁–negh[V→N][N][Loc][4PlPoss][PlPosd]
sangllaghnaqneghmeggni	sa-–ngllagh[V→V]-@₁~fnaq[V→N]-te[N→V]-@₁–negh[V→N][N][Loc][4PlPoss][SgPosd]
sangllaghnaqneghmeggni	sa-–ngllagh[V→V]-@₁~fnaq[V→N]-te[N→V]-te[V→V]-@₁–negh[V→N][N][Loc][4PlPoss][PlPosd]
sangllaghnaqneghmeggni	sa-–ngllagh[V→V]-@₁~fnaq[V→N]-te[N→V]-te[V→V]-@₁–negh[V→N][N][Loc][4PlPoss][SgPosd]

unangniighusiq	una-–nge[N→V]-@₁~fni[V→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)siq[V→N][N][Abs][Unpd][Sg]
unangniighusiq	una-–nge[N→V]-@₁~fni[V→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)siq[V→N][N][Abs][Unpd][Sg]
unangniighusiq	una-–nge[N→V]-@₁~fni[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)siq[V→N][N][Abs][Unpd][Sg]
unangniighusiq	una-–nge[N→V]-@₁~fni[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)siq[V→N][N][Abs][Unpd][Sg]
unangniighusiq	una-–nge[N→V]-@₁~fni[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)siq[V→N][N][Abs][Unpd][Sg]
unangniighusiq	una-–nge[N→V]-@₁~fni[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)siq[V→N][N][Abs][Unpd][Sg]
unangniighusiq	una-–nge[N→V]-@₁~fni[V→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)siq[V→N][N][Abs][Unpd][Sg]
unangniighusiq	una-–nge[N→V]-@₁~fni[V→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)siq[V→N][N][Abs][Unpd][Sg]
unangniighusiq	una-–nge[N→V]-@₁~fni[V→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)siq[V→N][N][Abs][Unpd][Sg]
