AATKAM KAKILLGHA, ATUQELLGHA NEGHIGHLUKU

aatkam	aatkagh[N][Rel][Unpd][Sg]
liitunga	legh-––igh[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	legh-––igh[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	legh-––igh[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–tu[N→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	legh-––igh[N→V]-–ghte[V→V]-@₁~:(u)te[V→V][V][Intr][Ind][1Sg]
liitunga	legh-––ii[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	legh-––ii[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	legh-––ii[N→V]-@₁~:(u)n[V→N]-–tu[N→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	legh-––ii[N→V]-@₁~:(u)te[V→V][V][Intr][Ind][1Sg]
liitunga	legh-––ii[N→V]-~:(u)te[V→V][V][Intr][Ind][1Sg]
liitunga	legh-––ii[N→V]-–tu[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	legh-––ii[N→V]-–tu[V→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	legh-––ii[N→V]-–tu[V→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	legh-––ii[N→V]-te[V→V][V][Intr][Ind][1Sg]
liitunga	legh-––ii[N→V]-tu[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	legh-––ii[N→V]-tu[V→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	legh-––ii[N→V]-tu[V→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	legh-––iigh[N→V]-–tu[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	legh-––iigh[N→V]-–tu[V→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	legh-––iigh[N→V]-–tu[V→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	legh-––igh[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	legh-––igh[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	legh-––igh[N→V]-@₁~:(u)n[V→N]-–tu[N→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	legh-––igh[N→V]-@₁~:(u)te[V→V][V][Intr][Ind][1Sg]
liitunga	legh-––igh[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	legh-––igh[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	legh-––igh[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	legh-––igh[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Ind][1Sg]
liitunga	legh-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	legh-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	legh-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–tu[N→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	legh-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Intr][Ind][1Sg]
liitunga	legh-––igh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Intr][Ind][1Sg]
