Sulpik Naapleghhii Kaviighmeng

naapleghhii	naapte-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaghnaluni	saaghw-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	saaghw-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	saaghw-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	saaghw-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	saaqw-––i[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	saaqw-––i[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	saaqw-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	saaqw-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	saaqw-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	saaqw-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	saaqw-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	saaqw-––igh[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	saaqw-––igh[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	saaqw-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	saaqw-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	saaqw-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	saaqw-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	saaqw-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sa-igh[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	sa-igh[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	sa-igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	sa-igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	suug-––i[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	suug-––i[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	suug-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	suug-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	suug-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	suug-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	suug-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	suug-––igh[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	suug-––igh[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	suug-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	suug-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	suug-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	suug-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	suug-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	suugh-––i[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	suugh-––i[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	suugh-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	suugh-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	suugh-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	suugh-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	suugh-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	suugh-––igh[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	suugh-––igh[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	suugh-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	suugh-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	suugh-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	suugh-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	suugh-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V][V][Intr][Sbrd][3Sg]

------------------------


------------------------
Sulpigem kaviighmeng naaptaghaghtelleghqani sighimakeg­penaan siifqaqaalghii.

kaviighmeng	kaviigh[N][Abl_Mod][Unpd][Sg]
kaviighmeng	kaviigh[N][Rel][4DuPoss][PlPosd]
kaviighmeng	kaviigh[N][Rel][4DuPoss][SgPosd]
kaviighmeng	kaviigh[N][Rel][4PlPoss][PlPosd]
kaviighmeng	kaviigh[N][Rel][4PlPoss][SgPosd]

siifqaqaalghii	siigh-––i[N→V]-–fqagh[V→V]-@₁~–(g₁)kaa[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	siigh-––i[N→V]-–fqagh[V→V]-~–qagh[V→V]-~:(ng₁)u[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	siigh-––i[N→V]-–fqagh[V→V]-~sf–(g₃)kau[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	siigh-––igh[N→V]-–fqagh[V→V]-@₁~–(g₁)kaa[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	siigh-––igh[N→V]-–fqagh[V→V]-~–qagh[V→V]-~:(ng₁)u[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
