Ayngaghlingaawetenkuk, Qilakaghiilaankuk

------------------------
Puughhutem Ungipaghaa

puughhutem	puughhe-~:(u)te[V→N][N][Rel][Unpd][Sg]
yaywaalingiighhaat	yaywaali-~fngiighhagh*[N→N][N][Rel][Unpd][Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][3PlPoss][SgPosd]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][3PlPoss][SgPosd]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][3PlPoss][SgPosd]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][3PlPoss][SgPosd]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][3PlPoss][SgPosd]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][3PlPoss][SgPosd]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][3PlPoss][SgPosd]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][3PlPoss][SgPosd]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][3PlPoss][SgPosd]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-ugh[V→V][V][Intr][Opt][FUT][3Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Pl]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N][N][Abs][3PlPoss][SgPosd]
yaywaalingiighhaat	yaywaali-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Pl]
yaywaalingiighhaat	yaywaale-––i[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Pl]
yaywaalingiighhaat	yaywaale-––i[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][3PlPoss][SgPosd]
yaywaalingiighhaat	yaywaale-––i[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Pl]
yaywaalingiighhaat	yaywaale-––i[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Pl]
yaywaalingiighhaat	yaywaale-––i[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][3PlPoss][SgPosd]
yaywaalingiighhaat	yaywaale-––i[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Pl]
