Vuvallanga Ayapeghyugem (1)

------------------------
(1) Ayapeghyugnguq taana Avatmiit pikaat, Walangankut Kepelgunkut saknaaghat.

ayapeghyugnguq	ayapegh-@₁~fyug[V→V]-@*ngugh*[V→N][N][Abs][Unpd][Sg]

taana	taane[V][Intr][Intrg][3Sg]
taana	taana

avatmiit	Avate-~fmii[N→N][N][Abs][Unpd][Pl]
avatmiit	Avate-~fmii[N→N][N][Rel][Unpd][Pl]
avatmiit	Avatmii(t)[N][Abs][Unpd][Pl]
avatmiit	Avatmii(t)[N][Rel][Unpd][Pl]

------------------------


	

------------------------
Vuvallam sanqutangi sivuliq qalik, signeghet, qaltaghwaaghek, aghqusighhaak tughneghaghnun, saguyak, tagnelghii nanighhaq kumangalghii.

vuvallam	vuvalla[N][Rel][Unpd][Sg]
nanighhaq	nanugh-––i[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]
nanighhaq	nanigh-––i[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]
nanighhaq	nani-–ghhagh*[N→N][N][Abs][Unpd][Sg]
nanighhaq	nanigh-–ghhagh*[N→N][N][Abs][Unpd][Sg]
nanighhaq	na-neq[V→N]-––i[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]

kumangalghii	kumagh-–ngagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

------------------------
Vuvallam yuga unanguluku pingayumi kellaagegni nekegtaqaat vuvalla.

vuvallam	vuvalla[N][Rel][Unpd][Sg]

yuga	yu(u)g[N][Abs][3SgPoss][SgPosd]
yuga	yug[N][Abs][3SgPoss][SgPosd]

unanguluku	ete-@₁~:(u)n[V→N]-agh[N→V]-–ngu[V→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
unanguluku	ete-@₁~:(u)n[V→N]-agh[N→V]-–ngu[V→V]-@₁~:(u)n[V→N]-–luk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
unanguluku	ete-@₁~:(u)n[V→N]-agh[N→V]-–ngu[V→V]-~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
unanguluku	ete-@₁~:(u)n[V→N]-agh[N→V]-–ngu[V→V][V][Trns][Sbrd][_][3Sg]
unanguluku	ete-@₁~:(u)n[V→N]-agh[N→V]-–ngugh*[V→N]-–luk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
unanguluku	una-~:(ng₁)u[N→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
unanguluku	una-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-–luk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
unanguluku	una-~:(ng₁)u[N→V]-~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
unanguluku	una-~:(ng₁)u[N→V][V][Trns][Sbrd][_][3Sg]
unanguluku	una-–nge[N→V]-@₁~:(u)n[V→N]-–luk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
unanguluku	una-–nge[N→V]-te[V→V]-@₁~:(u)n[V→N]-–luk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
unanguluku	una-–ngu[N→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
unanguluku	una-–ngu[N→V]-@₁~:(u)n[V→N]-–luk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
unanguluku	una-–ngu[N→V]-~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
unanguluku	una-–ngu[N→V][V][Trns][Sbrd][_][3Sg]
