Yughqutaam Ighnegha Kiighwyaaghtekaq

ighnegha	ighnegh[N][Abs][3SgPoss][SgPosd]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-–ghqe[V→V]-~:(u)te[V→N]-te[N→V][V][Intr][Ptcp][3Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqe[N→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqe[N→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqe[N→V]-@₁~:(u)te[V→V][V][Intr][Ptcp][3Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqe[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqe[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqe[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Ptcp][3Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqe[N→V]-~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqe[N→V]-~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqe[N→V]-~:(u)te[V→V][V][Intr][Ptcp][3Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqe[N→V]-~:(u)te[V→N]-te[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqe[N→V]-~:(u)te[V→N]-te[N→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqe[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqe[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqe[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V][V][Intr][Ptcp][3Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqe[N→V]-~:(u)te[V→N]-te[N→V][V][Intr][Ptcp][3Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqu[N→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqu[N→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqu[N→V]-@₁~:(u)te[V→V][V][Intr][Ptcp][3Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqu[N→V]-te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqu[N→V]-te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqu[N→V]-te[V→V][V][Intr][Ptcp][3Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqu[N→V]-~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
nulighqullghiik	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghqu[N→V]-~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
