Yuggaq Unangyiilnguq Enkaam Nanuq

enkaam	enkaam
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–leg[N→N]-~:(ng₁)u[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–leg[N→N]-~:(ng₁)u[N→V]-~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–leg[N→N]-~:(ng₁)u[N→V]-~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–leg[N→N]-~:(ng₁)u[N→V]-~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–lgu[N→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–lgu[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–lgu[N→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–lgu[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–lgu[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–lgu[N→V]-~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–lgu[N→V]-~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-@₁~:(u)ta[V→N]-–lgu[N→V]-~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-–ghte[N→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-–ghte[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-–ghte[N→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-–ghte[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-–ghte[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-te[N→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-te[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-te[N→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-te[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-te[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-te[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-te[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-te[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-te[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-te[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-~:(ng₁)u[N→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-~:(ng₁)u[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-~:(ng₁)u[N→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-~:(ng₁)u[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-~:(ng₁)u[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-~:(ng₁)u[N→V]-~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-~:(ng₁)u[N→V]-~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–leg[N→N]-~:(ng₁)u[N→V]-~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
mughutalgutangi	mughu-~:(u)ta[V→N]-–lgu[N→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–lgu[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–lgu[N→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–lgu[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–lgu[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
mughutalgutangi	mughu-~:(u)ta[V→N]-–lgu[N→V]-~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–lgu[N→V]-~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
mughutalgutangi	mughu-~:(u)ta[V→N]-–lgu[N→V]-~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]

unangaqelghiit	una-–nge[N→V]-~(g₁)aqe[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
unangaqelghiit	una-–nge[N→V]-~(g₁)aqe[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
unangaqelghiit	una-–nge[N→V]-~(g₁)aqe[V→V][V][Intr][Ptcp][3Pl]
unangaqelghiit	unange-~(g₁)aqe[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
unangaqelghiit	unange-~(g₁)aqe[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
unangaqelghiit	unange-~(g₁)aqe[V→V][V][Intr][Ptcp][3Pl]

ellnga	ellnga
ellnga	ellnga[N][Abs][Unpd][Sg]

mughulluni	mughu-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][SgPosd]
mughulluni	mughu-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][PlPosd]
mughulluni	mughu-te[V→V][V][Intr][Sbrd][3Sg]
mughulluni	mughu-~:(u)te[V→N]-te[N→V][V][Intr][Sbrd][3Sg]
mughulluni	mughute[V][Intr][Sbrd][3Sg]

taglaneghmini	taglagh-@₁–negh[V→N]-~fmik[N→N][N][Abs][4SgPoss][SgPosd]
taglaneghmini	taglagh-@₁–negh[V→N]-~fmik[N→N][N][Abs][4SgPoss][PlPosd]
taglaneghmini	taglagh-@₁–negh[V→N][N][Loc][4SgPoss][PlPosd]
taglaneghmini	taglagh-@₁–negh[V→N][N][Loc][4SgPoss][SgPosd]
taglaneghmini	taglagh[V][Intr][Ctmp][4Sg]

avangunani	ava-~:(ng₁)ite**[N→V][V][Intr][Sbrd][3Sg]
avangunani	ava-~:(ng₁)u[N→V]-@₁~:(u)te[V→V]-@₁~fnaq[V→N][N][Abs][4SgPoss][SgPosd]
avangunani	ava-~:(ng₁)u[N→V]-@₁~:(u)te[V→V]-@₁~fnaq[V→N][N][Abs][4SgPoss][PlPosd]
avangunani	ava-~:(ng₁)u[N→V]-@₁~:(u)te[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
avangunani	ava-~:(ng₁)u[N→V]-@₁~:(u)te[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
avangunani	ava-~:(ng₁)u[N→V]-@₁~:(u)te[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
avangunani	ava-~:(ng₁)u[N→V]-@₁~:(u)te[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
