Yuuk Enkaam Qateghyiighaghhaq

enkaam	enkaam

qateghyiighaghhaq	qateghyiighagh*-–ghhagh*[N→N][N][Abs][Unpd][Sg]

------------------------


	

------------------------
Yuugnguq iimna aghvengyupiglleghhii.

nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-~:(ng₁)u[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-~:(ng₁)u[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	nulugh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulugh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulugh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulugh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulugh-––i[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	nulugh-––i[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	nulugh-––i[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	nulugh-––i[N→V]-~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
